Ship name,IMO Number,Flag,Gross tonnage,Type of ship,Date,Time,Area,Latitude,Longitude,Place,Label
LNG LOKOJA,9269960.0,Bermuda (United Kingdom),98798.0,Oil tanker,2017-04-29,18:48,West Africa,3° 37.60' N,6° 44.10' E,In international waters,0
EAGLE EXPRESS,9414280.0,Panama,28051.0,Product tanker,2017-06-19,00:08,East Africa,4° 04.00' S,39° 39.00' E,In port area,0
HARVESTER,9777711.0,Liberia,23651.0,Bulk carrier,2017-06-02,21:28,Malacca Strait,3° 55.70' N,98° 45.50' E,In port area,0
LOCH SEAFORTH,9594949.0,Singapore,10835.0,Supply ship,2017-06-14,05:58,South China Sea,1° 09.00' N,104° 14.58' E,In port area,0
MS SOPHIE,9241798.0,Liberia,25400.0,Chemical tanker,2017-06-15,11:08,South China Sea,13° 44.01' N,121° 01.09' E,In port area,0
DUKE,8200838.0,Bahamas,2031.0,Research ship,2017-06-12,19:57,Malacca Strait,0° 45.40' N,104° 08.70' E,In port area,0
AKROTIRI,9007752.0,Singapore,25190.0,Oil product tanker,2017-06-08,04:03,South China Sea,1° 21.00' N,104° 36.00' E,In territorial waters,0
ANNOU MAX,9423073.0,Marshall Islands,91374.0,Bulk carrier,2017-06-06,04:33,West Africa,8° 28.30' N,13° 22.90' W,In port area,0
NAVIG8 PROVIDENCE,9737759.0,Marshall Islands,43142.0,Product tanker,2017-06-01,12:53,Arabian Sea,23° 32.40' N,60° 26.30' E,In international waters,0
MUSKIE,9256638.0,Marshall Islands,42771.0,Tanker,2017-05-31,07:55,Arabian Sea,12° 35.00' N,43° 27.20' E,In international waters,0
ALICE,9520273.0,Marshall Islands,4202.0,Chemical tanker,2017-05-28,00:08,South China Sea,2° 49.90' N,105° 17.40' E,In international waters,0
SC DALIAN,9430454.0,"Hong Kong, China",8539.0,Chemical tanker,2017-05-21,04:38,Malacca Strait,1° 43.72' N,101° 23.21' E,In port area,0
TRF MARQUETTE,9732785.0,Marshall Islands,23676.0,Chemical tanker,2017-05-18,04:08,South America (C),10° 11.31' N,64° 46.16' W,In territorial waters,0
POSH CONQUEST,9451654.0,Panama,2736.0,Supply ship,2017-05-16,19:11,South China Sea,3° 32.00' N,126° 23.00' E,In international waters,0
PRABHU LAL,9263124.0,India,30057.0,Bulk carrier,2017-05-11,21:20,South China Sea,0° 16.30' S,117° 37.90' E,In port area,0
KOTA LUKIS,9439747.0,Singapore,39906.0,Container ship,2017-05-04,02:38,South America (P),12° 01.02' S,77° 12.06' W,In port area,0
NAVE BUENA SUERTE,9514561.0,"Hong Kong, China",152727.0,Tanker,2017-05-03,18:14,Malacca Strait,1° 16.60' N,103° 17.60' E,In territorial waters,0
GLORY OCEAN,9116448.0,Singapore,10337.0,Cement carrier,2017-05-02,07:58,South America (C),10° 14.75' N,64° 33.44' W,In port area,0
MAINPORT CEDAR,9659323.0,Marshall Islands,1659.0,Research ship,2017-04-28,07:28,South America (A),6° 49.40' N,58° 10.20' W,In port area,0
COSTINA,8405701.0,Sierra Leone,4462.0,Product tanker,2017-04-22,15:50,Arabian Sea,5° 42.00' N,48° 53.00' E,In territorial waters,0
LUCINA PROVIDENCE,9349784.0,Panama,46025.0,LPG tanker,2017-04-21,20:08,South China Sea,13° 40.50' N,121° 03.10' E,In port area,0
AXEL SPIRIT,9282041.0,Bahamas,62929.0,Oil tanker,2017-04-19,09:53,West Africa,3° 25.00' N,5° 46.00' E,In international waters,0
ATLANTIC MANN,8305494.0,Nigeria,804.0,Tug,2017-04-19,10:42,West Africa,4° 06.43' N,6° 15.34' E,In territorial waters,0
SAFE SINO,9149251.0,Panama,27526.0,Product tanker,2017-04-14,08:08,Arabian Sea,15° 55.56' N,52° 20.75' E,In territorial waters,0
BLUE BALANCE,9168491.0,Panama,26058.0,Bulk carrier,2017-04-07,02:08,West Africa,5° 52.11' S,13° 02.49' E,In port area,0
GLOBAL PHENIX,9552719.0,Panama,5917.0,LPG tanker,2017-03-22,03:08,South China Sea,13° 06.00' N,121° 01.00' E,In port area,0
ANGELICA SCHULTE,9296822.0,Liberia,56163.0,Oil tanker,2017-03-28,09:53,South America (C),10° 19.30' N,75° 32.10' W,In port area,0
PING AN,9495856.0,Marshall Islands,11438.0,Product tanker,2017-03-25,02:08,Malacca Strait,1° 43.00' N,101° 26.25' E,In port area,0
OCEAN AMBITION,9717709.0,"Hong Kong, China",44855.0,Bulk carrier,2017-03-26,21:23,South China Sea,3° 43.08' S,114° 25.08' E,In port area,0
ZITA,9760043.0,Marshall Islands,38237.0,Bulk carrier,2017-03-23,02:23,East Africa,19° 48.85' S,34° 50.06' E,In port area,0
LA MANCHA KNUTSEN,9721724.0,CSR (Spain),116246.0,LPG tanker,2017-03-10,06:26,West Africa,3° 03.00' N,6° 57.00' E,In international waters,0
ARIS 13,9012501.0,Sri Lanka,1188.0,Tanker,2017-03-14,19:38,Arabian Sea,11° 59.00' N,50° 45.00' E,In territorial waters,0
PHU AN 268,9549293.0,Viet Nam,1599.0,General cargo ship,2017-03-05,10:08,South China Sea,6° 20.50' N,118° 08.00' E,In territorial waters,0
GAZ PROVIDENCE,9448504.0,Panama,16777.0,LPG tanker,2017-02-07,20:12,West Africa,3° 22.00' N,7° 13.50' E,In international waters,0
FAR STARLING,9629017.0,NIS (Norway),3527.0,Supply ship,2017-02-09,22:38,West Africa,4° 45.20' S,11° 49.20' E,In port area,0
BBC CARIBBEAN,9378242.0,Antigua and Barbuda,5261.0,General cargo ship,2017-02-05,11:38,West Africa,3° 58.36' N,5° 28.36' E,In international waters,0
JPO GEMINI,9294020.0,Liberia,25672.0,Container ship,2017-01-30,04:53,West Africa,8° 27.30' N,13° 26.40' W,In port area,0
CHARLOTTE SELMER,9435064.0,Marshall Islands,92079.0,Bulk carrier,2017-01-25,01:43,West Africa,8° 27.10' N,13° 21.20' W,In port area,0
NIJINSKY,9364966.0,Singapore,16804.0,LPG tanker,2017-01-15,03:23,South America (C),10° 12.00' N,64° 47.90' W,In port area,0
SILVER EXPRESS,9380099.0,Panama,26900.0,Product tanker,2017-01-07,23:58,South China Sea,13° 44.00' N,121° 02.20' E,In port area,0
TRYSIL SPIRIT,9593414.0,Marshall Islands,57244.0,Oil product tanker,2016-12-29,01:09,Malacca Strait,1° 41.70' N,101° 29.77' E,In port area,0
ZEFYROS,9515917.0,Panama,29924.0,Product tanker,2016-12-12,06:41,West Africa,6° 18.31' N,3° 21.66' E,In port area,0
CENTAURUS OCEAN,9673824.0,Singapore,43291.0,Bulk carrier,2016-12-08,01:58,South China Sea,0° 17.70' S,117° 39.90' E,In port area,0
STAR NORITA,9583134.0,Norway,32371.0,Bulk carrier,2016-12-08,12:48,South China Sea,5° 29.30' N,119° 38.40' E,In international waters,0
EASTER K,9584889.0,Panama,33084.0,Bulk carrier,2016-11-25,11:06,South China Sea,5° 47.70' N,119° 51.30' E,In territorial waters,0
CEMTEX FORTUNE,9727106.0,Singapore,46935.0,Bulk carrier,2016-11-25,11:06,South China Sea,5° 47.70' N,119° 51.30' E,In territorial waters,0
BUENA REINA,9643984.0,Singapore,2999.0,LPG tanker,2016-12-01,04:08,South China Sea,7° 46.17' S,109° 04.22' E,In port area,0
YAMATAI,9567714.0,Panama,14538.0,Heavy load carrier,2016-12-02,04:38,South China Sea,1° 05.90' N,104° 10.00' E,In territorial waters,0
GUNGA,9479668.0,Cyprus,4242.0,Product tanker,2016-12-01,01:38,West Africa,8° 44.90' S,13° 17.50' E,In port area,0
CENTURY GOLD,9757527.0,Panama,10186.0,Bulk carrier,2016-11-23,02:53,South America (C),10° 11.40' N,64° 45.40' W,In territorial waters,0
ELIANA,9665293.0,Panama,14320.0,Product tanker,2016-11-23,06:38,West Africa,3° 35.40' N,5° 13.60' E,In international waters,0
KEN TOKU,9316945.0,Panama,17979.0,Bulk carrier,2016-11-23,10:48,South China Sea,6° 21.50' N,119° 53.80' E,In international waters,0
MIGHTY SERVANT 1,8130875.0,Curaçao (Kingdom of the Netherlands),29193.0,Heavy load carrier,2016-11-15,03:08,South China Sea,1° 25.62' N,104° 41.05' E,In territorial waters,0
SOUTHERN FALCON,9414993.0,Panama,5551.0,Tanker,2016-11-13,17:28,South China Sea,3° 40.40' N,119° 51.60' E,In international waters,0
JENNY N,9377248.0,Liberia,36459.0,LPG tanker,2016-11-03,04:20,West Africa,4° 52.22' N,1° 39.62' W,In territorial waters,0
BW COUGAR,9675494.0,Singapore,29737.0,Product tanker,2016-10-21,05:08,South America (P),12° 02.00' S,77° 31.00' W,In port area,0
DONGBANG GIANT NO. 2,9481788.0,Republic of Korea,11391.0,General cargo ship,2016-10-20,15:53,South China Sea,4° 32.90' N,119° 33.50' E,In territorial waters,0
ARDMORE CHEROKEE,9707845.0,Marshall Islands,15591.0,Oil tanker,2016-10-19,02:08,Malacca Strait,1° 42.00' N,101° 27.00' E,In territorial waters,0
SONGA OPAL,9473913.0,Marshall Islands,11259.0,Product tanker,2016-10-18,04:10,West Africa,6° 19.00' N,3° 22.00' E,In territorial waters,0
CAMILA,9701231.0,Marshall Islands,21532.0,Bulk carrier,2016-09-06,00:43,Malacca Strait,1° 43.00' N,101° 26.00' E,In port area,0
HANYANG,9714226.0,Singapore,24785.0,Bulk carrier,2016-10-02,06:23,Indian Ocean,5° 29.70' S,105° 17.30' E,In port area,0
CENTURY MELODY,9580211.0,Panama,9993.0,Bulk carrier,2016-09-02,03:08,South America (C),18° 34.40' N,72° 32.60' W,In port area,0
AMERICAS SPIRIT,9247443.0,Bahamas,63213.0,Tanker,2016-09-22,00:58,South America (C),10° 09.70' N,64° 46.80' W,In port area,0
WINDHOEK,9515591.0,Panama,17280.0,Container ship,2016-09-21,02:54,West Africa,9° 18.74' N,13° 45.51' W,In port area,0
PANAMANA,9401805.0,Singapore,39258.0,General cargo ship,2016-09-16,09:08,South China Sea,5° 30.00' S,105° 17.00' E,In port area,0
SEA STAR,9624500.0,Marshall Islands,33042.0,Bulk carrier,2016-09-14,16:08,Indian Ocean,22° 13.00' N,91° 41.00' E,In port area,0
SEA STAR,9624500.0,Marshall Islands,33042.0,Bulk carrier,2016-08-24,07:03,Arabian Sea,13° 40.00' N,42° 54.00' E,In international waters,0
MAERSK TORSHAVN,9718088.0,Singapore,29455.0,Chemical tanker,2016-09-02,09:28,South China Sea,7° 09.70' N,125° 39.60' E,In port area,0
AMSTEL FALCON,9460514.0,Panama,31508.0,Bulk carrier,2016-08-27,07:38,South America (P),12° 01.00' S,77° 10.90' W,In port area,0
AISHA SARWAR,9200433.0,Bangladesh,26612.0,Bulk carrier,2016-08-24,02:18,West Africa,9° 24.50' N,13° 43.30' W,In territorial waters,0
NAUTICA TG. PUTERI XXVII,9762120.0,Malaysia,466.0,Tug,2016-08-19,02:38,Malacca Strait,1° 11.30' N,103° 52.03' E,In territorial waters,0
AD MATSU,9523782.0,Singapore,3609.0,Tanker,2016-08-07,22:38,South China Sea,2° 00.93' N,104° 52.94' E,In international waters,0
HARLEY,9133082.0,Marshall Islands,29083.0,Product tanker,2016-08-05,03:08,West Africa,6° 14.00' N,3° 23.00' E,In port area,0
ATLANTICA,9216509.0,Malta,28693.0,Bulk carrier,2016-08-07,01:13,South China Sea,10° 15.50' N,107° 01.26' E,In territorial waters,0
SBI THALIA,9704843.0,Marshall Islands,36336.0,Bulk carrier,2016-07-24,15:28,South China Sea,0° 13.00' S,117° 33.00' E,In territorial waters,0
MR AQUARIUS,9421324.0,Marshall Islands,30400.0,Product tanker,2016-07-24,06:23,West Africa,6° 26.10' N,3° 19.60' E,In port area,0
PRINCE JOSEPH 1,9499319.0,Nigeria,2176.0,Supply ship,2016-07-07,15:38,West Africa,3° 05.00' N,4° 53.00' E,In international waters,0
DANUBIA,9258466.0,Liberia,38975.0,Product tanker,2016-07-20,05:38,South America (P),4° 33.90' S,81° 18.60' W,In port area,0
LEWEK CONSTELLATION,9629756.0,Panama,48949.0,Special purpose ship,2016-07-17,03:53,West Africa,4° 47.00' S,11° 47.90' E,In port area,0
BALTIMORE,9331464.0,Marshall Islands,89523.0,Bulk carrier,2016-07-16,23:28,South China Sea,2° 55.00' N,105° 19.00' E,In international waters,0
BOUBOULINA,9298753.0,Greece,84844.0,Tanker,2016-07-07,07:58,West Africa,3° 16.00' N,5° 09.00' E,In international waters,0
CHAMTANG,9212400.0,Panama,23784.0,Product tanker,2016-06-28,20:53,South China Sea,3° 00.00' N,105° 10.00' E,In international waters,0
ANNA-MARIA,9407469.0,Liberia,30811.0,Bulk carrier,2016-06-21,06:48,Malacca Strait,1° 41.45' N,101° 30.37' E,In port area,0
UACC MARAH,9489091.0,Marshall Islands,29279.0,Product tanker,2016-06-18,02:18,Malacca Strait,1° 41.90' N,101° 29.20' E,In port area,0
SICILIA,9430935.0,Liberia,21018.0,Container ship,2016-06-14,02:48,Indian Ocean,22° 08.00' N,91° 44.00' E,In port area,0
GAS SNAPPER,9447794.0,Marshall Islands,22978.0,Gas carrier - non-specified,2016-05-14,05:08,Arabian Sea,23° 02.00' N,70° 13.00' E,In port area,0
POLAR DUCHESS,9378216.0,Cyprus,7142.0,Research ship,2016-05-19,05:38,Malacca Strait,1° 11.00' N,103° 57.00' E,In port area,0
WARRAMBOO,9621340.0,Japan,132512.0,Bulk carrier,2016-04-29,02:08,Yellow Sea,38° 55.50' N,119° 13.80' E,In port area,0
SEA EMPEROR,9383601.0,Marshall Islands,8503.0,Oil tanker,2016-05-11,02:39,West Africa,6° 05.70' N,1° 15.00' E,In port area,0
IRMGARD SCHULTE,9410624.0,Isle of Man (United Kingdom),18311.0,LPG tanker,2016-05-12,22:58,South America (C),10° 11.30' N,64° 47.00' W,In port area,0
HAYDN,9308429.0,Portugal,27786.0,Container ship,2016-05-09,22:14,South China Sea,10° 11.00' N,107° 04.00' E,In port area,0
TRISTEN,9104445.0,Panama,1997.0,Chemical tanker,2016-05-08,21:58,South China Sea,3° 20.00' N,109° 36.00' E,In international waters,0
HARLEY,9133082.0,Marshall Islands,29083.0,Product tanker,2016-05-07,16:08,West Africa,3° 42.00' N,5° 10.00' E,In international waters,0
MOXON,9133070.0,Marshall Islands,29083.0,Oil tanker,2016-05-05,03:14,West Africa,3° 53.00' N,5° 36.00' E,In international waters,0
AFRICAN BEAUTY,9047386.0,Panama,28277.0,Tanker,2016-05-05,16:00,West Africa,3° 50.90' N,5° 24.90' E,In international waters,0
MADONNA 1,9407031.0,Panama,11438.0,Chemical tanker,2016-05-04,01:28,West Africa,3° 54.10' N,5° 17.60' E,In international waters,0
SBI TANGO,9714707.0,Marshall Islands,34835.0,Bulk carrier,2016-04-25,12:08,Yellow Sea,35° 21.00' N,119° 32.00' E,In port area,0
J. F. J. DE NUL,9260677.0,Luxembourg,9497.0,Cutter/dredger,2016-04-25,05:08,Malacca Strait,1° 09.35' N,103° 56.69' E,In port area,0
POSH VIKING,9494292.0,Cayman Islands (United Kingdom),2538.0,Tug,2016-04-06,12:14,Malacca Strait,1° 16.10' N,104° 05.20' E,In territorial waters,0
HORIZON GEOBAY,7801556.0,Panama,3502.0,Research ship,2016-04-25,03:08,West Africa,4° 45.00' S,11° 50.00' E,In port area,0
PRIME EXPRESS,9459242.0,Panama,28725.0,Product tanker,2016-04-21,00:38,South America (P),12° 00.13' S,77° 13.32' W,In port area,0
AMITY,9492103.0,Panama,94710.0,Bulk carrier,2016-04-21,19:38,South China Sea,10° 38.00' N,120° 34.00' E,In territorial waters,0
ARMADA TUAH 101,9387293.0,Malaysia,2147.0,Supply ship,2016-04-19,08:25,West Africa,3° 30.00' N,4° 50.00' E,In international waters,0
HENRY,9302231.0,Indonesia,245.0,Tug,2016-04-15,18:08,South China Sea,4° 31.26' N,119° 00.00' E,In international waters,0
SBI ATHENA,9704829.0,Marshall Islands,36336.0,Bulk carrier,2016-03-27,07:18,Yellow Sea,31° 16.00' N,119° 25.00' E,In port area,0
OTTOMAN EQUITY,9404950.0,Turkey,79934.0,Tanker,2016-04-10,11:08,West Africa,3° 17.80' N,5° 31.00' E,In international waters,0
FRONTIER HERO,9701308.0,Panama,43291.0,Bulk carrier,2016-04-01,02:53,South China Sea,0° 15.20' S,117° 34.80' E,In port area,0
MASSIVE 6,9265823.0,Malaysia,269.0,Tug,2016-04-01,19:23,South China Sea,4° 07.56' N,118° 55.76' E,In international waters,0
BRAHMA 12,9765407.0,Indonesia,198.0,Tug,2016-03-26,17:37,South China Sea,4° 48.56' N,119° 12.53' E,In territorial waters,0
MARATHA PROMISE,9422809.0,Marshall Islands,22863.0,Bulk carrier,2016-03-30,02:38,South China Sea,6° 00.00' S,106° 54.00' E,In port area,0
COUGAR ACE,9051375.0,Singapore,55328.0,Vehicle carrier,2016-03-23,23:28,South America (P),12° 01.00' S,77° 12.00' W,In port area,0
MAXIMUS,9387164.0,Panama,4535.0,Product tanker,2016-02-11,21:08,West Africa,4° 00.00' N,4° 00.00' W,In international waters,0
BRIGHTWAY,9588146.0,Singapore,83824.0,Tanker,2016-03-11,14:33,West Africa,2° 52.00' N,4° 52.00' E,In international waters,0
CANAL STREET,9539561.0,Liberia,28426.0,Product tanker,2016-03-03,05:53,East Africa,4° 04.60' S,39° 39.80' E,In port area,0
NAUTICAL LOREDANA,9699311.0,Liberia,36324.0,Bulk carrier,2015-12-08,04:48,South China Sea,3° 57.10' N,117° 35.70' E,In port area,0
EXCELSIOR BAY,9697612.0,Marshall Islands,29735.0,Product tanker,2016-02-08,23:08,Arabian Sea,22° 47.00' N,70° 00.00' E,In port area,0
FALCON,9227821.0,Marshall Islands,27986.0,Bulk carrier,2016-02-20,05:20,Arabian Sea,14° 42.00' N,51° 28.00' E,In international waters,0
POMER,9455739.0,Croatia,30638.0,Product tanker,2016-01-28,04:08,Arabian Sea,22° 49.00' N,70° 07.00' E,In port area,0
DAWN MADURAI,9116383.0,India,28414.0,Product tanker,2016-01-25,02:38,Arabian Sea,22° 48.83' N,70° 02.60' E,In port area,0
LEON DIAS,9279927.0,Liberia,5720.0,Product tanker,2016-01-30,01:18,West Africa,2° 30.00' N,5° 35.00' E,In international waters,0
CHEMBULK BARCELONA,9278662.0,Marshall Islands,20058.0,Oil tanker,2016-02-14,04:08,South China Sea,13° 43.00' N,121° 02.00' E,In port area,0
SFL CLYDE,9455911.0,"Hong Kong, China",19998.0,Bulk carrier,2016-02-09,03:18,West Africa,5° 52.00' S,13° 02.00' E,In port area,0
NORD GUARDIAN,9448712.0,DIS (Denmark),30241.0,Product tanker,2016-02-03,03:08,South America (P),12° 00.00' S,77° 12.00' W,In port area,0
GLOBE PEGASUS,9403188.0,Marshall Islands,32379.0,Bulk carrier,2016-01-27,07:28,Arabian Sea,23° 08.00' N,59° 32.00' E,In territorial waters,0
AAL KOBE,9498444.0,Marshall Islands,23930.0,General cargo ship,2016-01-25,00:03,North Atlantic Ocean,10° 16.30' N,64° 34.30' W,In port area,0
SERJEANT,9694634.0,Singapore,47347.0,LPG tanker,2016-01-23,07:38,Indian Ocean,17° 39.00' N,83° 24.00' E,In territorial waters,0
SILVER SKY,8519722.0,Panama,39043.0,Vehicle carrier,2016-01-19,12:08,West Africa,3° 52.00' N,5° 33.00' E,In international waters,0
EVER UNIFIC,9168843.0,Singapore,69246.0,Container ship,2015-12-22,04:28,South China Sea,14° 36.10' N,120° 50.50' E,In port area,0
CMB MEDOC,9615171.0,Panama,50633.0,Bulk carrier,2016-01-11,21:38,Arabian Sea,22° 46.50' N,69° 59.00' E,In port area,0
IVS SENTOSA,9528005.0,Singapore,20809.0,Bulk carrier,2016-01-07,02:03,South China Sea,20° 43.00' N,107° 09.00' E,In port area,0
NORD POWER,9271626.0,Singapore,88594.0,Bulk carrier,2016-01-01,17:08,Yellow Sea,38° 49.00' N,118° 19.00' E,In port area,0
EDWARD N,9597185.0,Liberia,91374.0,Bulk carrier,2015-12-29,03:03,Yellow Sea,38° 47.70' N,118° 16.20' E,In port area,0
ARDMORE SEAANGUARD,9637088.0,Marshall Islands,30030.0,Product tanker,2015-12-24,09:08,Arabian Sea,22° 46.00' N,70° 02.00' E,In port area,0
AS CARELIA,9309409.0,Liberia,28592.0,Container ship,2015-10-21,11:51,Arabian Sea,12° 08.00' N,44° 33.30' E,In territorial waters,0
VALERIE SCHULTE,9315874.0,Liberia,28927.0,Container ship,2015-03-18,15:32,Persian Gulf,26° 25.00' N,56° 36.20' E,In territorial waters,0
ASIA PEARL III,9502776.0,Singapore,22402.0,Bulk carrier,2015-12-05,02:47,West Africa,4° 45.00' S,11° 47.00' E,In port area,0
SUDKAP,9210294.0,Antigua and Barbuda,6170.0,General cargo ship,2015-12-16,05:10,West Africa,5° 50.80' S,13° 25.80' E,In port area,0
IVS KITTIWAKE,9310769.0,Panama,19885.0,Bulk carrier,2015-12-16,05:38,South China Sea,20° 55.84' N,107° 17.59' E,In port area,0
STELLA LUCY,9721683.0,Singapore,94788.0,Bulk carrier,2015-12-14,02:33,Yellow Sea,38° 48.60' N,118° 19.80' E,In territorial waters,0
MARIDA MAGNOLIA,9445643.0,Marshall Islands,8505.0,Chemical tanker,2015-10-31,05:18,West Africa,4° 44.00' S,11° 47.00' E,In port area,0
ALAMEDA,9228174.0,Malta,86743.0,Bulk carrier,2015-10-22,04:53,Malacca Strait,1° 07.15' N,103° 31.00' E,In territorial waters,0
INDIGO HOPE,9487639.0,Panama,132587.0,Ore/bulk/oil Carrier,2015-12-08,05:28,Yellow Sea,38° 42.00' N,118° 48.00' E,In territorial waters,0
TOSCA,9251884.0,Liberia,26914.0,Chemical tanker,2015-12-08,14:03,Malacca Strait,3° 57.10' N,98° 47.30' E,In territorial waters,0
ALPHA ERA,9220990.0,Malta,87407.0,Bulk carrier,2015-12-08,01:28,Yellow Sea,38° 46.70' N,118° 23.60' E,In territorial waters,0
MARITIME DINAR,9143685.0,Marshall Islands,29956.0,Product tanker,2015-12-02,07:23,Arabian Sea,22° 39.80' N,69° 57.90' E,In territorial waters,0
ORIENT GRACE,9650157.0,Vanuatu,33084.0,Bulk carrier,2015-12-04,22:08,South China Sea,20° 42.00' N,107° 10.00' E,In port area,0
SEA FORCE,9322102.0,Marshall Islands,8539.0,Product tanker,2015-11-18,00:08,West Africa,4° 45.00' S,11° 49.00' E,In port area,0
MALENA,9375886.0,Antigua and Barbuda,2588.0,General cargo ship,2015-11-18,23:08,North Atlantic Ocean,18° 33.00' N,72° 23.00' W,In port area,0
MSC NINGBO,9285677.0,Luxembourg,83133.0,Container ship,2015-11-10,05:53,South China Sea,10° 15.00' N,107° 03.00' E,In port area,0
FOOCHOW,9690901.0,Singapore,24785.0,Bulk carrier,2015-10-31,03:08,Arabian Sea,22° 46.43' N,70° 02.23' E,In port area,0
DORRA,9386964.0,Bahamas,160782.0,Tanker,2015-10-29,07:08,Arabian Sea,22° 40.00' N,69° 56.00' E,In port area,0
ENERGY PROGRESS,9387279.0,Isle of Man (United Kingdom),29605.0,Product tanker,2015-10-20,08:38,South America (C),10° 19.20' N,75° 31.20' W,In port area,0
SOLARTE,8210285.0,Comoros,3261.0,Refrigerated cargo carrier,2015-10-19,20:02,West Africa,3° 58.00' N,5° 25.00' E,In international waters,0
ERIK SPIRIT,9292515.0,Bahamas,62929.0,Tanker,2015-10-18,10:08,South China Sea,10° 06.70' N,107° 06.90' E,In port area,0
ALMI SPIRIT,9312872.0,Liberia,57325.0,Oil tanker,2015-10-15,06:48,Malacca Strait,1° 10.90' N,103° 26.40' E,In territorial waters,0
CSK LONGEVITY,9679799.0,Singapore,40963.0,Bulk carrier,2015-10-22,00:08,South China Sea,20° 41.00' N,107° 13.00' E,In port area,0
ATSUTA No. 1,9159610.0,Philippines,491.0,General cargo ship,2015-10-10,10:23,South China Sea,5° 35.20' N,125° 28.40' E,In territorial waters,0
NORD SWIFT,9692155.0,DIS (Denmark),30108.0,Chemical tanker,2015-10-06,04:08,South China Sea,5° 49.30' N,118° 09.10' E,In port area,0
MARLIN AMETHYST,9697222.0,Marshall Islands,29534.0,Chemical tanker,2015-09-22,11:38,West Africa,6° 16.00' N,3° 13.00' E,In territorial waters,0
CREST JADE 1,9528251.0,Singapore,472.0,Tug,2015-09-12,06:08,Malacca Strait,1° 04.14' N,103° 54.23' E,In port area,0
OVERSEAS ATALMAR,9273636.0,Marshall Islands,30018.0,Product tanker,2015-09-29,03:28,Malacca Strait,1° 42.10' N,101° 30.53' E,In port area,0
CHALLENGE POLARIS,9426295.0,Singapore,28051.0,Product tanker,2015-09-18,07:08,South China Sea,13° 40.46' N,121° 03.10' E,In port area,0
HAMGAM,9226956.0,Iran (Islamic Republic of),39424.0,Bulk carrier,2015-09-20,00:28,Malacca Strait,1° 04.00' N,103° 41.00' E,In territorial waters,0
RATNA PUJA,9308845.0,India,58446.0,Oil tanker,2015-09-08,05:08,Malacca Strait,1° 05.92' N,103° 34.32' E,In territorial waters,0
SEA MAJESTY,9363285.0,Panama,20236.0,General cargo ship,2015-06-28,03:53,South America (C),10° 22.86' N,75° 33.69' W,In port area,0
PERMATA 1,5331309.0,Malaysia,128.0,Tug,2015-09-01,10:15,Malacca Strait,1° 20.88' N,104° 21.36' E,In territorial waters,0
GLOVIS MAESTRO,9610987.0,Singapore,33456.0,Bulk carrier,2015-08-29,04:18,Malacca Strait,1° 10.28' N,103° 27.25' E,In territorial waters,0
MALBEC,9364928.0,Marshall Islands,24066.0,Chemical tanker,2015-08-12,21:38,Mediterranean Sea,33° 07.00' N,21° 51.00' E,In international waters,0
SOHO TRADER,9735945.0,Marshall Islands,36426.0,Bulk carrier,2015-08-12,01:38,Arabian Sea,22° 12.00' N,60° 21.00' E,In international waters,0
ARDMORE CHINOOK,9707869.0,Marshall Islands,15591.0,Chemical tanker,2015-08-03,01:53,Malacca Strait,3° 56.30' N,98° 44.80' E,In port area,0
WAWASAN SAPPHIRE,9508158.0,"Hong Kong, China",11572.0,Chemical tanker,2015-08-28,02:48,South America (P),3° 50.18' N,77° 09.20' W,In port area,0
MAERSK LEBU,9526930.0,"Hong Kong, China",89097.0,Container ship,2015-08-21,05:38,Malacca Strait,1° 10.08' N,103° 30.17' E,In territorial waters,0
TINTOMARA,9234599.0,Liberia,26914.0,Product tanker,2015-08-20,11:58,South China Sea,7° 02.00' N,125° 39.00' E,In port area,0
IBN AL ABBAR,9194490.0,Panama,16705.0,Container ship,2015-08-15,04:08,Malacca Strait,1° 03.80' N,103° 36.53' E,In territorial waters,0
JIN HWA 43,9689768.0,Malaysia,148.0,Tug,2015-08-06,23:08,Malacca Strait,1° 05.00' N,103° 44.00' E,In territorial waters,0
PORT HAINAN,9456422.0,"Hong Kong, China",33036.0,Bulk carrier,2015-08-18,04:58,West Africa,5° 52.60' S,13° 01.70' E,In port area,0
MATAR N,9509176.0,Cyprus,39824.0,Container ship,2015-08-13,07:08,Malacca Strait,1° 07.40' N,103° 30.00' E,In territorial waters,0
JOAQUIM,9133989.0,Singapore,1796.0,Product tanker,2015-08-08,21:08,Malacca Strait,2° 03.40' N,101° 59.30' E,In international waters,0
FEDERAL CRIMSON,9732151.0,Singapore,32750.0,Bulk carrier,2015-08-10,07:48,Malacca Strait,1° 05.80' N,103° 33.70' E,In territorial waters,0
HELEN N,9479163.0,Liberia,151448.0,Bulk carrier,2015-08-03,03:28,Malacca Strait,1° 05.20' N,103° 35.00' E,In territorial waters,0
SLETTNES,9490739.0,Marshall Islands,32837.0,Bulk carrier,2015-08-03,02:44,Malacca Strait,1° 03.50' N,103° 37.10' E,In territorial waters,0
SETAGAWA,9391763.0,Panama,159936.0,Oil tanker,2015-07-26,06:48,Malacca Strait,1° 04.70' N,103° 36.00' E,In territorial waters,0
RUTLAND,9112301.0,Singapore,85848.0,Bulk carrier,2015-07-25,03:08,Malacca Strait,1° 03.80' N,103° 39.40' E,In territorial waters,0
